unidad;CLUES;idInsti
C.S.T-I MARGARITA MAZA DE JUÁREZ;DFIMB000854;2
C.S.T-I SAN JOSÉ ACULCO;DFIMB000871;2
C.S.T-I APATLACO;DFIMB000883;2
C.S.T-I FRANCISCO VILLA;DFIMB000895;2
C.S.T-I SAN ANDRÉS XICOTENCATL;DFIMB000900;2
C.S.T-I CAMPESTRE POTRERO;DFIMB000912;2
C.S.T-I RENOVACIÓN;DFIMB000924;2
C.S.T-I SANTA CRUZ MEYEHUALCO;DFIMB000936;2
C.S.T-I LAS PEÑAS;DFIMB000941;2
C.S.T-I XALPA;DFIMB000953;2
C.S.T-II EJIDO LOS REYES;DFIMB000965;2
C.S.T-III DR. GUILLERMO ROMAN Y CARRILLO;DFIMB000970;2
C.S.T-III DR. RAFAEL CARRILLO;DFIMB000982;2
C.S.T-III DR. FRANCISCO J. BALMIS;DFIMB000994;2
C.S.T-III CHINAMPAC DE JUÁREZ;DFIMB001006;2
C.S.T-III QUETZALCOATL;DFIMB001011;2
C.S.T-III SAN ANDRÉS TOMATLÁN;DFIMB001023;2
C.S.T-II SAN MIGUEL TEOTONGO;DFIMB001035;2
C.S. T-III SANTA MARÍA AZTAHUACÁN;DFIMB001040;2
C.S. T-III SANTIAGO ACAHUALTEPEC;DFIMB001052;2
C.S.T-I CENTRAL DE ABASTOS.;DFIMB000866;2
HOSPITAL MATERNO INFANTIL MAGDALENA CONTRERAS;DFIMB001064;2
C.S.T-I TIERRA COLORADA;DFIMB001076;2
C.S.T-I HÉROES DE PADIERNA;DFIMB001081;2
C.S.T-I AMPLIACIÓN LOMAS DE SAN BERNABÉ;DFIMB001093;2
C.S.T-I EXHACIENDA DE ESLAVA;DFIMB001105;2
C.S.T-I 1RO. DE MAYO;DFIMB001110;2
C.S.T-I SAN NICOLÁS TOTOLAPAN;DFIMB001122;2
C.S.T-II SAN BARTOLO AMEYALCO;DFIMB001134;2
C.S.T-III DR. ÁNGEL DE LA GARZA BRITO;DFIMB001146;2
HOSPITAL GENERAL MILPA ALTA;DFIMB001151;2
C.S.T-I SAN JUAN TEPENAHUAC;DFIMB001163;2
C.S.T-I SAN JERÓNIMO MIACATLÁN;DFIMB001175;2
C.S.T-I SAN BARTOLOMÉ XICOMULCO;DFIMB001180;2
C.S.T-I SAN FRANCISCO TECOXPA;DFIMB001192;2
C.S.T-I SAN LORENZO TLACOYUCAN;DFIMB001204;2
C.S.T-III SAN PABLO OZTOTEPEC;DFIMB001216;2
C.S.T-II DR. LUIS A. EROSA LEÓN;DFIMB001221;2
C.S.T-II SANTA ANA TLACOTENCO;DFIMB001233;2
C.S.T-II SAN SALVADOR CUAUHTENCO;DFIMB001245;2
C.S.T-III DR GASTÓN MELO;DFIMB001250;2
C.S.T-I TETELPAN;DFIMB001262;2
C.S.T-II LA CASCADA;DFIMB001274;2
C.S.T-I HERÓN PROAL;DFIMB001286;2
C.S.T-I AVE REAL;DFIMB001291;2
C.S.T-I TARANGO;DFIMB001303;2
C.S.T-I PUENTE COLORADO;DFIMB001315;2
C.S.T-III DR. IGNACIO MORONES PRIETO;DFIMB001320;2
C.S.T-III AMPLIACIÓN PRESIDENTES;DFIMB001332;2
C.S.T-III DR. EDUARDO JENNER;DFIMB001344;2
C.S.T-III MINAS DE CRISTO;DFIMB001356;2
C.S.T-III DR. MANUEL ESCONTRIA;DFIMB001361;2
C.S.T-III DR. MANUEL B. MÁRQUEZ ESCOBEDO;DFIMB001373;2
HOSPITAL MATERNO INFANTIL TLÁHUAC;DFIMB001385;2
C.S.T-II 13 DE SEPTIEMBRE;DFIMB001390;2
C.S.T-I ZAPOTITLAN;DFIMB001402;2
CENTRO DE SALUD T-II XUAN ZENTENO CUEVAS SANTA CATARINA YECAHUIZOTL;DFIMB001414;2
C.S.T-II AMPLIACIÓN SELENE;DFIMB001426;2
CLÍNICA COMUNITARIA MIXQUIC;DFIMB001431;2
C.S.T-III SAN FRANCISCO TLALTENCO;DFIMB001443;2
C.S.T-II SAN JOSÉ;DFIMB001455;2
C.S.T-II SAN JUAN IXTAYOPAN;DFIMB001460;2
C.S.T-III MIGUEL HIDALGO;DFIMB001472;2
C.S.T-II ZAPOTITLA;DFIMB001484;2
C.S.T-II HORTENCIA;DFIMB001496;2
C.S.T-I MAGDALENA PETLACALCO;DFIMB001501;2
C.S.T-I PARRES;DFIMB001513;2
C.S.T-I DIF;DFIMB001525;2
C.S.T-I TIERRA Y LIBERTAD;DFIMB001530;2
C.S.T-I XITLE;DFIMB001542;2
C.S.T-I PEDREGAL DE SAN NICOLÁS NORTE;DFIMB001554;2
CENTRO DE SALUD T-I PEDREGAL DE SAN NICOLÁS SUR;DFIMB001566;2
C.S.T-I EJIDOS DE HUIPULCO;DFIMB001571;2
C.S.T-I BEKAL;DFIMB001583;2
C.S.T-I BOSQUES DEL PEDREGAL;DFIMB001595;2
CENTRO DE SALUD T-III LOMAS DE PADIERNA;DFIMB001600;2
C.S.T-II SAN ANDRÉS TOTOLTEPEC;DFIMB001612;2
C.S.T-III DR. DAVID FRAGOSO LIZALDE;DFIMB001624;2
C.S.T-III AMPLIACIÓN HIDALGO;DFIMB001636;2
C.S.T-III DR. GERARDO VARELA MARISCAL;DFIMB001641;2
CENTRO DE SALUD T-II TOPILEJO      ;DFIMB001653;2
C.S.T-III CULTURA MAYA;DFIMB001665;2
C.S.T-III DR. JOSÉ CASTRO VILLAGRANA;DFIMB001670;2
C.S.T-III PEDREGAL DE LAS ÁGUILAS;DFIMB001682;2
CLÍNICA HOSPITAL DE ESPECIALIDADES TOXICOLÓGICAS XOCHIMILCO;DFIMB001694;2
HOSPITAL MATERNO PEDIÁTRICO XOCHIMILCO;DFIMB001706;2
C.S.T-I SAN FRANCISCO TLANEPANTLA;DFIMB001711;2
C.S.T-I SANTA CECILIA TEPETLAPA;DFIMB001723;2
C.S.T-I SAN ANDRÉS AHUAYUCAN;DFIMB001735;2
C.S.T-I SANTA CRUZ XOCHITEPEC;DFIMB001740;2
CENTRO DE SALUD T-II SAN LUIS TLAXIALTEMALCO ;DFIMB001752;2
C.S.T-II SANTA CRUZ ACALPIXCA;DFIMB001764;2
C.S.T-III SAN GREGORÍO ATLAPULCO;DFIMB001776;2
C.S.T-II SANTA MARÍA NATIVITAS;DFIMB001781;2
C.S.T-III XOCHIMILCO;DFIMB001793;2
C.S.T-III TULYEHUALCO;DFIMB001805;2
C.S. T-II SAN MATEO XALPA;DFIMB001810;2
HOSPITAL GENERAL XOCO;DFIMB001822;2
C.S.T-I VALENTÍN GÓMEZ FARIAS;DFIMB001834;2
C.S.T-III MIXCOAC;DFIMB001846;2
C.S.T-III PORTALES;DFIMB001851;2
CLÍNICA DE ESPECIALIDADES NO. 4;DFIMB001863;2
CLÍNICA DE ESPECIALIDADES NO. 3;DFIMB001875;2
CLÍNICA DE ESPECIALIDADES NO. 6;DFIMB001880;2
CLÍNICA DE ESPECIALIDADES NO. 2;DFIMB001892;2
CLÍNICA DE ESPECIALIDADES NO. 5;DFIMB001904;2
CENTRO DERMATOLÓGICO DR. LADISLAO DE LA PASCUA;DFIMB001916;2
HOSPITAL PEDIÁTRICO PERALVILLO;DFIMB001921;2
HOSPITAL GENERAL DR. GREGORIO SALAS FLORES;DFIMB001933;2
C.S.T-III SOLEDAD OROZCO DE ÁVILA CAMACHO;DFIMB001945;2
C.S.T-III DR. ATANACIO GARZA RÍOS;DFIMB001950;2
ESPACIO INTERACTIVO EN SALUD PARA JOVENES IMPULSO;DFIMB001962;2
C.S.T-III DR. JOSÉ MA. RODRÍGUEZ;DFIMB001974;2
C.S.T-III DR. DOMINGO ORVAÑANOS;DFIMB001986;2
C.S.T-III DR. MANUEL DOMÍNGUEZ;DFIMB001991;2
HOSPITAL PEDIÁTRICO TACUBAYA;DFIMB002003;2
HOSPITAL PEDIÁTRICO LEGARIA;DFIMB002015;2
